,competition_name,season_name,competition_id,season_id,time_downloaded
0,Germany - 1. Bundesliga,2015/2016,9,27,2024-03-01 01:11:39.107378
1,Africa - African Cup of Nations,2023,1267,107,2024-03-01 01:12:20.263751
2,Europe - Champions League,2018/2019,16,4,2024-03-01 01:12:21.586205
3,Europe - Champions League,2017/2018,16,1,2024-03-01 01:12:22.803906
4,Europe - Champions League,2016/2017,16,2,2024-03-01 01:12:24.058399
5,Europe - Champions League,2015/2016,16,27,2024-03-01 01:12:25.289504
6,Europe - Champions League,2014/2015,16,26,2024-03-01 01:12:26.503515
7,Europe - Champions League,2013/2014,16,25,2024-03-01 01:12:27.737372
8,Europe - Champions League,2012/2013,16,24,2024-03-01 01:12:29.033674
9,Europe - Champions League,2011/2012,16,23,2024-03-01 01:12:30.358033
10,Europe - Champions League,2010/2011,16,22,2024-03-01 01:12:31.643747
11,Europe - Champions League,2009/2010,16,21,2024-03-01 01:12:32.911766
12,Europe - Champions League,2008/2009,16,41,2024-03-01 01:12:34.161870
13,Europe - Champions League,2006/2007,16,39,2024-03-01 01:12:35.429511
14,Europe - Champions League,2004/2005,16,37,2024-03-01 01:12:36.884071
15,Europe - Champions League,2003/2004,16,44,2024-03-01 01:12:38.132360
16,Europe - Champions League,1999/2000,16,76,2024-03-01 01:12:39.480360
17,Europe - Champions League,1972/1973,16,277,2024-03-01 01:12:40.727316
18,Europe - Champions League,1971/1972,16,71,2024-03-01 01:12:41.872400
19,Europe - Champions League,1970/1971,16,276,2024-03-01 01:12:42.961276
20,Spain - Copa del Rey,1983/1984,87,84,2024-03-01 01:12:44.142544
21,Spain - Copa del Rey,1982/1983,87,268,2024-03-01 01:12:45.224323
22,Spain - Copa del Rey,1977/1978,87,279,2024-03-01 01:12:46.424667
23,England - FA Women's Super League,2020/2021,37,90,2024-03-01 01:14:32.947231
24,England - FA Women's Super League,2019/2020,37,42,2024-03-01 01:15:41.353742
25,England - FA Women's Super League,2018/2019,37,4,2024-03-01 01:17:07.252713
26,International - FIFA U20 World Cup,1979,1470,274,2024-03-01 01:17:08.498295
27,International - FIFA World Cup,2022,43,106,2024-03-01 01:17:58.032892
28,International - FIFA World Cup,2018,43,3,2024-03-01 01:18:49.685443
29,International - FIFA World Cup,1990,43,55,2024-03-01 01:18:50.773538
30,International - FIFA World Cup,1986,43,54,2024-03-01 01:18:53.435597
31,International - FIFA World Cup,1974,43,51,2024-03-01 01:18:58.590812
32,International - FIFA World Cup,1970,43,272,2024-03-01 01:19:03.810930
33,International - FIFA World Cup,1962,43,270,2024-03-01 01:19:05.215068
34,International - FIFA World Cup,1958,43,269,2024-03-01 01:19:07.269466
35,India - Indian Super league,2021/2022,1238,108,2024-03-01 01:20:36.390796
36,Spain - La Liga,2020/2021,11,90,2024-03-01 01:21:05.243192
37,Spain - La Liga,2019/2020,11,42,2024-03-01 01:21:33.202616
38,Spain - La Liga,2018/2019,11,4,2024-03-01 01:22:02.085411
39,Spain - La Liga,2017/2018,11,1,2024-03-01 01:22:32.577886
40,Spain - La Liga,2016/2017,11,2,2024-03-01 01:23:00.600229
41,Spain - La Liga,2015/2016,11,27,2024-03-01 01:28:07.639163
42,Spain - La Liga,2014/2015,11,26,2024-03-01 01:28:41.845156
43,Spain - La Liga,2013/2014,11,25,2024-03-01 01:29:08.384222
44,Spain - La Liga,2012/2013,11,24,2024-03-01 01:29:37.473387
45,Spain - La Liga,2011/2012,11,23,2024-03-01 01:30:08.810413
46,Spain - La Liga,2010/2011,11,22,2024-03-01 01:30:37.770967
47,Spain - La Liga,2009/2010,11,21,2024-03-01 01:31:06.549745
48,Spain - La Liga,2008/2009,11,41,2024-03-01 01:31:31.953382
49,Spain - La Liga,2007/2008,11,40,2024-03-01 01:31:55.068402
50,Spain - La Liga,2006/2007,11,39,2024-03-01 01:32:16.883000
51,Spain - La Liga,2005/2006,11,38,2024-03-01 01:32:30.728823
52,Spain - La Liga,2004/2005,11,37,2024-03-01 01:32:36.315810
53,Spain - La Liga,1973/1974,11,278,2024-03-01 01:32:37.558751
54,Argentina - Liga Profesional,1997/1998,81,48,2024-03-01 01:32:38.697273
55,Argentina - Liga Profesional,1981,81,275,2024-03-01 01:32:39.914333
56,France - Ligue 1,2022/2023,7,235,2024-03-01 01:33:09.256748
57,France - Ligue 1,2021/2022,7,108,2024-03-01 01:33:31.889489
58,France - Ligue 1,2015/2016,7,27,2024-03-01 01:38:49.381838
59,United States of America - Major League Soccer,2023,44,107,2024-03-01 01:38:55.262138
60,North and Central America - North American League,1977,116,68,2024-03-01 01:38:56.484776
61,United States of America - NWSL,2018,49,3,2024-03-01 01:39:25.626464
62,England - Premier League,2015/2016,2,27,2024-03-01 01:44:30.956287
63,England - Premier League,2003/2004,2,44,2024-03-01 01:45:03.869388
64,Italy - Serie A,2015/2016,12,27,2024-03-01 01:50:22.710499
65,Italy - Serie A,1986/1987,12,86,2024-03-01 01:50:23.842812
66,Europe - UEFA Euro,2020,55,43,2024-03-01 01:51:04.621850
67,Europe - UEFA Europa League,1988/1989,35,75,2024-03-01 01:51:07.409233
68,Europe - UEFA Women's Euro,2022,53,106,2024-03-01 01:51:31.969018
69,International - Women's World Cup,2023,72,107,2024-03-01 01:52:23.416336
70,International - Women's World Cup,2019,72,30,2024-03-01 01:53:05.265173
